,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
Adams ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Ashland ,,,,,,,,,,,,,,,,,,,,,,
Barron ,,,,,,,,,,,,,,,TRUE,,,,,,,
Bayfield ,,,,,,,,,,,,,,,TRUE,,,,,,,
Brown ,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,
Buffalo ,,,,,,,,,,,,,,TRUE,,,,,,,,
Burnett ,,,,,,,,,,,,,,,,,,,,,,
Calumet ,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,
Chippewa ,,,,,,,,,,,,,,,,,,,,,,
Clark ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Columbia ,,,,,,,,,,,,,,,TRUE,,,,,,,
Crawford ,,,,,,,,,,,,,,,,,,,,,,
Dane ,,,,,,,,,,,,,,,,,,,,,,
Dodge ,,,,,,,,,,,,,,,TRUE,,,,,,,
Door ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Douglas ,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,
Dunn ,,,,,,,,,,,,,,,,,,,,,,
Eau Claire ,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,
Florence ,,,,,,,,,,,,,,,,,,,,,,
Fond du Lac ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Forest ,,,,,,,,,,,,,,,,,,,,,,
Grant ,,,,,,,,,,,,,,,,,,,,,,
Green ,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,
Green Lake ,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE
Iowa ,,,,,,,,,,,,,,,,,,,,,,
Iron ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Jackson ,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,
Jefferson ,,,,,,,,,,,,,,,,,,,,,,
Juneau ,,,,,,,,,,,,,,,TRUE,,,,,,,
Kenosha ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Kewaunee ,,,,,,,,,,,,,TRUE,,,,,,,,,
La Crosse ,,,,,,,,,,,,,TRUE,,,,,,,,,
Lafayette ,,,,,,,,,,,,,,,,,,,,,,
Langlade ,,,,,,,,,,,,TRUE,,,,,,,,,,
Lincoln ,,,,,,,,,,,,,,,TRUE,,,,,,,
Manitowoc ,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,
Marathon ,,,,,,,,,,,,,,,,,,,,,,
Marinette ,,,,,,,,,,,,,,,,,,,,,,
Marquette ,,,,,,,,,,,,,,,TRUE,,,,,,,
Menominee ,,,,,,,,,,,,,,,,,,,,,,
Milwaukee ,,,,,,,,,,,,,,,,,,,,,,
Monroe ,,,,,,,,,,TRUE,,,,,,,,,,,,
Oconto ,,,,,,,,,,,,,,,,,,,,,,
Oneida ,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,
Outagamie ,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,
Ozaukee ,,,,,,,,,,,,,,TRUE,,,,,,,,
Pepin ,,,,,,,,,,TRUE,,,,,,,,,,,,
Pierce ,,,,,,,,,,,,,,TRUE,,,,,,,,
Polk ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Portage ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Price ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Racine ,,,,,,,,,,,,,,,,,,,,,,
Richland ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Rock ,,,,,,,,,,,,,,,TRUE,,,,,,,
Rusk ,,,,,,,,,,,,,,,,,,,,,,
Saint Croix ,,,,,,,,,,,,,,,TRUE,,,,,,,
Sauk ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Sawyer ,,,,,,,,,,,,,TRUE,,,,,,,,,
Shawano ,,,,,,,,,,,,,,,,,,,,,,
Sheboygan ,,,,,,,,,,,,,,,TRUE,,,,,,,
Taylor ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Trempealeau ,,,,,,,,,,,,,,,,,,,,,,
Vernon ,,,,,,,,,,,,,,,,,,,,,,
Vilas ,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,
Walworth ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Washburn ,,,,,,,,,,,,,,TRUE,,,,,,,,
Washington ,,,,,,,,,,,,,,,TRUE,,,,,,,
Waukesha ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Waupaca ,,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,
Waushara ,,,,,,,,,,,,,,,,,,,,,,
Winnebago ,,,,,,,,,,,,,,,,,,,,,,
Wood ,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
