,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,TRUE,,TRUE
Ashland ,,,,,,,,,TRUE,TRUE
Barron ,,,TRUE,,,,,TRUE,,TRUE
Bayfield ,,,,,,,,TRUE,,TRUE
Brown ,,,,,TRUE,,,TRUE,,TRUE
Buffalo ,,,,,,,,,TRUE,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,TRUE
Chippewa ,,,,,,,,,,TRUE
Clark ,,,,,,,,TRUE,,TRUE
Columbia ,,TRUE,,,,,,TRUE,,TRUE
Crawford ,,,,,,,,,,
Dane ,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dodge ,,,,TRUE,,,,TRUE,,TRUE
Door ,,,TRUE,,,,,TRUE,,TRUE
Douglas ,,,,,,TRUE,TRUE,,,TRUE
Dunn ,,,,,,,,,TRUE,TRUE
Eau Claire ,,,,,TRUE,TRUE,TRUE,,,
Florence ,,,,,,,,TRUE,,TRUE
Fond du Lac ,,,,,,TRUE,,TRUE,,TRUE
Forest ,,,,,TRUE,,,,TRUE,
Grant ,,,,,,,,TRUE,,TRUE
Green ,,,TRUE,,TRUE,,,TRUE,,TRUE
Green Lake ,,,,,TRUE,,,TRUE,,TRUE
Iowa ,,,,TRUE,,,,TRUE,,TRUE
Iron ,,,,,TRUE,,,,,
Jackson ,,,,TRUE,,,,TRUE,,TRUE
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,TRUE
Kenosha ,,,,,,,,TRUE,,TRUE
Kewaunee ,,,,,TRUE,,,TRUE,,TRUE
La Crosse ,,,,,,,,TRUE,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,TRUE,,,
Lincoln ,,,,,,,,TRUE,,TRUE
Manitowoc ,,,,,,,,TRUE,,TRUE
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,TRUE
Marquette ,,,,,,,,,,TRUE
Menominee ,,,TRUE,,,,,TRUE,,
Milwaukee ,,,,,,,,TRUE,,TRUE
Monroe ,,,,,TRUE,,,TRUE,,
Oconto ,,,,,,,,TRUE,,TRUE
Oneida ,,,,,TRUE,,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,TRUE,TRUE,TRUE
Ozaukee ,TRUE,,,,,,,,TRUE,
Pepin ,,,,,TRUE,,,,,
Pierce ,,,,,,,,,TRUE,
Polk ,,,,,,,TRUE,,TRUE,TRUE
Portage ,,,,,,,,,,
Price ,,,,,,,,,TRUE,TRUE
Racine ,TRUE,,,,,,,TRUE,,
Richland ,,,,,,,,TRUE,,TRUE
Rock ,,,,,TRUE,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,TRUE
Sauk ,,,TRUE,,,,,,TRUE,TRUE
Sawyer ,,,TRUE,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,TRUE
Taylor ,,,,,,,,,TRUE,TRUE
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,TRUE,
Vilas ,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE
Walworth ,,,,,,,,,TRUE,TRUE
Washburn ,,,,,,,,TRUE,,
Washington ,,,,,,,,,,TRUE
Waukesha ,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE
Waupaca ,,,,,,TRUE,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,TRUE,,,,
Wood ,,,,TRUE,,,,,TRUE,TRUE
